,0
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Hawaii
9,Idaho
10,Illinois
11,Indiana
12,Iowa
13,Kansas
14,Kentucky
15,Louisiana
16,Maryland
17,Massachusetts
18,Michigan
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,Nevada
24,New Jersey
25,New Mexico
26,North Carolina
27,North Dakota
28,Oklahoma
29,Oregon
30,South Carolina
31,South Dakota
32,Tennessee
33,Virginia
34,West Virginia
35,Wisconsin
